,gadays,90th percentile BW,10th percentile BW
179,249.0,3181.8589348176106,2257.6140602044457
180,250.0,3218.266531006819,2283.460553681468
181,251.0,3254.64751265652,2309.259920029825
182,252.0,3291.0,2335.0000000000005
183,253.0,3327.3177060681337,2360.670094505036
184,254.0,3363.5767150821657,2386.265345108204
185,255.0,3399.7487040609294,2411.782353535332
186,256.0,3435.80535002326,2437.217721512247
187,257.0,3471.718329987992,2462.568050764778
188,258.0,3507.4593209739605,2487.8299430187526
189,259.0,3543.0,2513.0
190,260.0,3578.318467152332,2538.073850967286
191,261.0,3613.418514786724,2563.043235311134
192,262.0,3648.310358326331,2587.8989199550074
193,263.0,3683.004213194308,2612.631671822368
194,264.0,3717.5102948138087,2637.232257836679
195,265.0,3751.838818607987,2661.691444921402
196,266.0,3786.000000000001,2686.0
197,267.0,3819.997346605337,2710.148204249725
198,268.0,3853.80753480884,2734.124395863001
199,269.0,3887.4005331876815,2757.916427286036
200,270.0,3920.746310319044,2781.512150965042
201,271.0,3953.8148347800993,2804.8994193462304
202,272.0,3986.576075148026,2828.066084875813
203,273.0,4019.0,2851.0
204,274.0,4051.0565779132,2873.689017165004
205,275.0,4082.7157774648,2896.120988817035
206,276.0,4113.947567231977,2918.283767402305
207,277.0,4144.72191579191,2940.165205367025
208,278.0,4175.008791721773,2961.7531551574066
209,279.0,4204.778163598744,2983.035469219661
210,280.0,4234.0,3004.0
211,281.0,4262.644269502716,3024.634599944634
212,282.0,4290.68094068407,3044.927121499775
213,283.0,4318.07998212124,3064.8654171116327
214,284.0,4344.811362391399,3084.4373392264206
215,285.0,4370.845050071725,3103.630740290348
216,286.0,4396.151013739398,3122.433472749628
217,287.0,4420.699221971592,3140.8333890504728
218,288.0,4444.459643345479,3158.8183416390893
219,289.0,4467.402246438243,3176.3761829616924
220,290.0,4489.496999827061,3193.494765464493
221,291.0,4510.713872089102,3210.1619415937
222,292.0,4531.022831801547,3226.365563795527
223,293.0,4550.393847541571,3242.0934845161864
224,294.0,4568.7968878863685,3257.333556201891
225,295.0,4586.201921413085,3272.0736312988374
226,296.0,4602.578916698905,3286.301562253262
227,297.0,4617.897842321028,3300.0052015113542
228,298.0,4632.1286668566245,3313.1724015193467
229,299.0,4645.241358882835,3325.791014723421
230,300.0,4657.205886976873,3337.848893569804
231,301.0,4667.992219715918,3349.3338905047203
