Result,249.0,250.0,251.0,252.0,253.0,254.0,255.0,256.0,257.0,258.0,259.0,260.0,261.0,262.0,263.0,264.0,265.0,266.0,267.0,268.0,269.0,270.0,271.0,272.0,273.0,274.0,275.0,276.0,277.0,278.0,279.0,280.0,281.0,282.0,283.0,284.0,285.0,286.0,287.0,288.0,289.0,290.0,291.0,292.0,293.0,294.0,295.0,296.0,297.0,298.0,299.0,300.0,301.0
Predicted Birthweight,2764.72802734375,2812.383544921875,2842.140869140625,2888.34423828125,2876.35888671875,2911.5478515625,2963.407470703125,2967.345947265625,3029.9521484375,3027.86865234375,3065.827392578125,3106.90625,3138.064453125,3179.665283203125,3236.6796875,3260.75,3298.671142578125,3345.705810546875,3344.435302734375,3354.96826171875,3448.0205078125,3429.89404296875,3482.614990234375,3516.555908203125,3573.907958984375,3566.347900390625,3600.517822265625,3701.160888671875,3691.177734375,3712.730224609375,3770.544677734375,3784.970458984375,3894.862060546875,3851.900146484375,3924.376220703125,3986.90771484375,4033.1943359375,4004.169921875,4028.783935546875,4085.908203125,4151.05029296875,4145.37109375,4183.35498046875,4216.1552734375,4290.767578125,4373.0498046875,4345.5361328125,4369.4794921875,4409.84716796875,4496.51513671875,4544.8359375,4617.54150390625,4593.15625
LGA Diagnosis,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Macrosomia Diagnosis,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
